Country Name,mean,std,max
Afghanistan,36.63469042,43.03932616,116.6607234
Albania,0.0356875,0.055822001,0.153
Algeria,18.76458731,8.161037985,31.624
American Samoa,0.003230152,0.004978866,0.011652
Andorra,0,0,0
Angola,60.41043781,19.65796177,80.997
Antigua and Barbuda,0.383878193,0.244006684,0.785
Arab World,18774.55847,9450.887913,31869.18039
Argentina,195.2604149,85.91565216,311.720805
Armenia,3.01544975,3.123927871,7.388
Aruba,0,0,0
Australia,2155.508828,686.2033763,2938.314378
Austria,369.3225329,122.2796003,571.977
Azerbaijan,129.0694997,244.9500415,732.789755
"Bahamas, The",0.243988261,0.225756532,0.586
Bahrain,256.1505086,197.189772,564.331
Bangladesh,110.4171739,72.86325669,225.1869
Barbados,0,0,0
Belarus,1.499462,0.601606439,2.8839
Belgium,1165.255061,436.0541634,1596.3044
Belize,0.831552871,1.335152493,3.746059438
Benin,0.219654251,0.380737921,1.265124
Bermuda,0,0,0
Bhutan,0.4487121,0.221153672,0.922884
Bolivia,11.45089245,6.135538967,25.295
Bosnia and Herzegovina,0.000263458,0.000439287,0.001339148
Botswana,0.082122764,0.088424038,0.315
Brazil,1457.238531,424.8993549,1845.64776
British Virgin Islands,0,0,0
Brunei Darussalam,116.779309,34.45167364,149.579
Bulgaria,1.932313603,0.802702206,3.38
Burkina Faso,0.042692757,0.042035506,0.10746804
Burundi,0,0,0
Cabo Verde,1.100360647,0.886622942,2.179387385
Cambodia,0.936612604,0.706435184,2.30126
Cameroon,8.011801063,12.3166903,29.001
Canada,1822.661088,646.4562786,2840.985135
Caribbean small states,64.89005086,32.64298526,116.23
Cayman Islands,0,0,0
Central African Republic,0,0,0
Central Europe and the Baltics,171.8641583,84.32052451,351.153409
Chad,0.141102352,0.261000508,0.778287172
Channel Islands,0,0,0
Chile,1238.01356,365.6998278,1553.479
China,15519.5047,6969.282475,25394.5878
Colombia,1171.457514,472.4785223,2419.933
Comoros,0,0,0
"Congo, Dem. Rep.",0.150760436,0.277802446,0.915105
"Congo, Rep.",1.969543108,1.910024003,4.597160619
Costa Rica,10.73874248,3.996790249,16.86723424
Cote d'Ivoire,2.445869353,4.002174543,15.37696396
Croatia,1.510161875,1.087604409,3.999
Cuba,21.63267493,11.98158074,47.76014
Curacao,0,0,0
