Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Afghanistan,AFG,,,,,,21677.0,25021.0,17775.0,21696.0,25920.0,23532.0,22770.0,24207.0,10454.0,7334.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Albania,ALB,4309.0,4481.0,4930.0,5058.0,5140.0,9412.0,10373.2109418273,10309.1791376912,11196.0,1992.0,,306.0,1904.0,2935.0,2558.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Algeria,DZA,45692.0,44822.0,44136.0,31026.0,52731.0,53088.0,53286.0,54292.0,55516.0,60066.0,65940.0,73465.0,74714.0,77463.0,76001.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,American Samoa,ASM,,,,,,3420.57075456399,3577.61386138614,3963.0036477332,8580.0,9144.0,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Andorra,AND,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Angola,AGO,4948.0,4965.0,5277.0,3361.0,3236.0,17060.0,12282.0,13072.0,14496.0,13716.0,13116.0,15482.0,13494.0,13978.0,13647.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Antigua and Barbuda,ATG,26985.0,26175.0,27746.0,28356.0,26371.0,39865.0,36533.603996772,33606.0392244309,52572.0,46404.0,40047.0,40928.0,24019.0,23206.966273393,21930.5831283564,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Argentina,ARG,81298.0,74162.0,79465.0,74649.0,74546.0,92847.5065402624,90214.5205338809,101716.268913446,145136.020724733,134521.0,145585.0,149334.0,146631.0,161862.0,163106.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Armenia,ARM,5939.0,6177.0,5975.0,6681.0,7632.0,8761.0,5561.0,6043.0,852.0,0.0,,,,814.0,2133.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Aruba,ABW,,,,,,,,,,,,,2132.0,2276.0,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Australia,AUS,342509.0,352909.0,353546.0,393363.0,403256.0,572906.0,593145.002471011,622917.0,641451.0,664970.0,668961.0,682937.0,672349.0,665384.0,684170.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Austria,AUT,141968.0,149512.0,151070.0,150738.0,138942.0,176195.0,166729.997287091,162715.735981131,166251.0,162576.0,152056.0,149030.0,156761.0,130260.0,330226.0,
